Genotype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,Environment
G26,91.398,146.7259,80.8023,102.3811,98.2921,105.9789,112.0753,100.8446,128.7691,49.551,114.6065,122.8899,86.9537,92.1307,106.1947,91.952,118.2358,125.7628,110.8904,91.2716,114.2303,69.5464,119.8953,112.8683,126.6314,98.9554,104.4911,115.2752,75.0867,94.6225,113.0917,117.1863,126.9479,126.8471,110.5851,113.9201,103.633,103.3795,90.503,88.6653,85.8593,78.1394,112.3957,103.1094,85.1208,91.725,72.7568,96.0463,105.7202,114.9373,83.0219,87.5305,119.4503,82.6557,62.6271,66.0379,87.7219,81.6236,123.5712,106.1798,Environment_3
G27,93.6243,85.3338,124.7845,44.896,119.211,72.5922,121.3167,129.0371,108.4956,116.3484,106.4588,120.5344,91.7606,82.9422,117.8299,132.803,86.3486,121.3082,98.7239,107.1739,87.2263,114.527,87.5514,122.5961,97.127,68.908,81.6006,73.3832,101.7448,96.3925,88.2415,74.0545,139.5355,118.9729,94.3304,121.0556,95.113,106.9006,99.6604,114.9868,117.0127,127.8148,107.831,112.5697,140.5493,95.3384,103.8361,114.7351,116.0045,129.8494,109.4098,125.1003,111.986,96.461,105.2721,108.3228,117.2932,94.6257,127.0241,73.2781,Environment_3
G28,113.2222,82.1449,124.6257,114.3424,113.977,95.4377,89.9767,90.8177,98.4455,95.3043,78.7943,103.3927,95.5289,104.9978,72.4221,76.7086,111.6537,80.0573,81.2165,58.9111,70.6362,105.1994,72.8244,57.8144,73.2164,93.6861,112.3328,95.2115,83.3629,116.6385,122.8592,93.6009,128.4307,115.225,100.5269,105.0322,135.5288,61.0851,85.9038,69.7635,85.6234,111.4711,102.1701,95.9812,107.7522,79.5933,90.0699,76.9084,115.6285,98.317,97.2075,94.3118,91.1258,92.8876,98.998,95.3488,95.7605,105.353,105.6152,108.8555,Environment_3
G29,85.6824,116.5571,125.3203,127.4117,138.7057,146.3435,106.6803,107.0881,127.7951,84.232,160.3552,113.154,82.4191,100.3449,115.868,100.7662,124.5167,128.9525,112.274,102.7436,134.6853,166.1259,142.75,94.6181,139.6642,94.8359,128.147,103.5967,125.8216,102.519,79.6326,118.1425,161.1753,123.8976,127.993,129.2721,114.9952,97.672,150.9249,129.8212,130.4808,124.6156,133.2873,95.4474,119.715,144.4556,117.1888,136.2816,142.9289,121.5268,117.4037,102.9648,116.5825,122.6234,97.421,140.0824,142.6553,140.4499,127.5591,92.439,Environment_3
G30,101.6997,94.049,81.1267,121.2199,135.4622,113.2891,115.6043,133.0129,118.3349,84.6434,90.1124,151.4997,85.9558,83.9725,88.5272,106.6749,98.4716,140.7242,95.8131,117.5623,142.0832,90.8065,106.6697,87.2315,88.9166,108.6104,134.218,86.7429,78.9844,137.1134,111.9639,117.8114,128.6874,118.143,101.3973,135.4463,82.5642,111.8722,96.2847,121.5054,94.5446,84.2766,96.237,88.2743,79.0567,77.9266,112.9426,125.0054,122.7417,94.7166,154.0591,88.0405,104.7267,61.3462,129.0141,101.4467,107.6939,111.3766,138.3799,81.3795,Environment_3
G31,116.6518,143.5654,130.1401,96.2499,125.9515,123.688,98.1942,122.4358,103.3847,97.6567,128.4374,123.3398,120.7918,152.2447,89.9331,144.244,100.6105,114.7467,141.7224,121.616,124.6528,96.0828,159.0607,124.5578,103.8868,91.4818,135.7241,109.5921,183.2911,127.5895,119.2525,87.329,97.1205,78.1434,72.5008,110.3481,129.1317,135.5112,72.1234,118.9851,108.757,93.8491,84.8501,98.1321,136.4302,107.7823,117.5897,107.6068,125.5954,113.2236,113.0661,74.4512,133.9042,133.7862,78.5607,119.0503,93.2993,104.6222,118.6001,123.5037,Environment_3
G32,131.5307,118.3843,122.2364,110.8611,94.497,101.6945,128.3271,84.4039,122.1312,126.4629,107.4578,109.4737,109.0195,100.9065,122.2546,89.1205,94.2951,84.2688,111.4151,78.452,93.8522,126.0758,148.3656,126.2885,110.1095,115.8624,122.9829,110.4777,108.9455,112.3049,93.411,110.2218,102.5041,91.859,100.9564,112.8607,99.9152,100.2205,98.9852,129.2024,113.9405,97.0235,60.7379,130.0403,124.9339,82.157,99.0081,121.5007,83.198,80.2578,94.9132,77.6091,109.6013,85.4229,123.6584,79.3243,112.4093,105.254,141.3624,154.0259,Environment_3
G33,130.8646,102.6996,114.6505,103.6882,129.5123,106.2262,126.7713,111.2535,111.4638,91.9109,114.5094,110.6932,75.3485,108.2267,116.709,77.5184,114.3738,77.6837,133.7475,140.2447,121.4359,134.4124,113.9277,112.3938,170.248,126.7472,138.6343,121.6694,115.8962,99.7901,86.6586,121.1917,144.9889,92.3015,102.5204,118.7042,98.4489,106.0022,124.9274,162.2695,95.5321,126.7959,124.3301,100.7186,116.1192,108.4496,123.1174,136.0933,72.2569,114.9979,94.4734,124.874,131.6926,71.6611,91.0725,123.9137,106.3232,96.9381,105.8691,97.3569,Environment_3
G34,101.1484,45.7139,93.2638,76.2818,95.7281,95.4725,107.3627,73.9575,89.7907,98.78,117.4973,87.1355,64.637,94.7809,127.5878,70.0778,49.955,124.0426,88.6017,109.2915,86.5582,106.6836,71.1578,134.0428,87.0955,100.6426,112.5851,56.6371,133.6692,106.4656,106.6108,104.6981,96.6107,71.3387,141.4884,65.9781,113.4864,69.5244,93.3102,75.1831,68.8998,42.0584,86.781,91.1278,102.8735,102.8976,97.7744,101.7469,65.6284,83.9284,63.8852,87.9725,91.2529,86.5601,92.0983,115.1566,82.6869,69.065,107.0981,111.7822,Environment_3
G35,137.8362,87.6461,112.6663,100.3141,80.262,141.3704,101.7742,130.4155,124.0098,73.9291,112.4532,118.0848,126.2723,93.7579,117.949,80.6085,124.9907,120.3208,109.568,119.544,101.9792,100.2669,101.8948,114.4537,118.884,156.2968,120.0084,92.2413,125.7473,99.1561,114.0797,136.047,106.722,94.7989,97.7473,121.8771,104.6607,117.731,97.8011,101.9861,93.2819,114.9116,46.2601,111.3264,122.6912,141.5062,140.9395,116.7394,94.8788,129.8591,136.3677,113.1498,112.7767,95.7009,136.9543,125.7572,105.8556,117.3648,112.4569,94.1708,Environment_3
G36,116.7454,113.4096,83.8569,56.6306,62.3528,106.766,117.3948,96.7103,85.7401,118.5733,73.9393,86.1496,44.1513,88.7337,71.3831,68.1712,87.912,124.953,118.1884,79.969,92.3255,110.3433,96.2858,74.308,121.9595,52.5808,57.9023,95.7674,80.054,104.0861,87.8194,73.971,135.6093,71.8624,39.0941,95.4645,94.9952,64.5775,100.1571,81.7839,109.7763,50.3818,96.1386,77.8825,68.9159,105.1175,73.7504,105.8305,139.3147,90.3579,86.5796,60.4029,53.6633,69.4984,63.1712,103.425,79.0709,82.8784,60.9744,70.1688,Environment_3
G37,91.7555,98.7759,117.9951,127.3899,78.2539,78.9153,120.5664,122.5211,61.4599,114.9469,131.7945,82.6563,89.3597,80.8801,116.2742,132.5912,98.9136,93.2804,102.9802,108.2914,69.689,110.9001,100.5699,75.8288,134.4626,123.567,126.8164,85.8706,101.9103,90.951,89.3196,102.2139,108.5748,110.2149,118.0393,130.7,80.0098,101.5311,66.182,123.6917,101.9334,63.7289,107.6302,87.1793,66.1688,76.8054,138.116,108.5626,96.3638,76.0954,105.0729,87.6164,43.333,82.9309,96.0051,102.017,122.82,86.0707,93.0555,86.6063,Environment_3
G38,85.9612,83.741,113.7376,83.8476,75.2184,76.7115,66.2712,98.6067,76.0123,89.0091,51.5522,91.0102,109.2624,117.2432,106.2576,88.491,84.8044,108.6165,55.6563,127.4427,84.2408,110.0279,59.0532,84.6737,82.3565,120.4377,88.9988,88.3628,92.513,90.1126,102.5921,64.1293,73.875,79.6345,116.5106,102.7864,72.2645,82.0858,123.0484,126.3151,104.5911,96.2569,109.3454,117.3523,101.4284,71.4046,92.8708,80.3072,67.1666,104.6106,70.1547,102.6249,84.6705,101.7379,116.0646,61.6264,109.5955,78.5644,104.123,102.2528,Environment_3
G39,89.2155,128.3293,129.578,85.9453,93.1395,70.9027,90.2074,93.4064,104.6605,90.3086,75.9059,127.9209,82.6461,94.5507,110.1656,98.9589,70.6828,104.8044,64.1408,112.0476,97.1214,118.1699,94.6063,107.8431,128.9389,86.8155,77.0135,79.1412,123.7873,73.2396,113.0138,51.6336,108.0624,121.2302,116.5795,116.7723,101.1065,85.392,75.4454,109.3267,130.1603,112.1324,86.9427,126.096,130.3208,93.2962,84.5456,98.1209,85.8888,68.5024,93.9503,105.7077,122.3947,144.1854,119.4606,119.3101,108.3681,72.2231,124.444,91.5162,Environment_3
G40,144.7218,134.9514,128.6962,99.5328,142.1302,117.1062,99.1043,112.1977,101.3636,93.3551,71.1616,106.4883,102.0479,72.8303,103.4425,110.3316,90.8772,130.1752,92.8783,99.9861,127.0215,118.2002,111.1815,82.2692,89.2651,95.8536,116.1903,112.2952,141.5254,111.0268,129.3589,83.2496,95.6093,91.6793,115.5395,122.8266,115.9231,104.334,134.4712,142.0057,89.7195,109.8442,109.4852,99.8477,84.0347,109.8623,93.3751,134.2632,96.3165,109.315,113.4894,85.7014,97.4602,99.9638,116.5383,126.9071,106.3607,121.2734,109.0972,64.8132,Environment_3
G41,105.5287,59.9811,94.2981,91.3522,153.7651,124.7211,87.4406,118.1222,91.0428,89.9901,115.5859,111.5716,91.6415,105.9383,118.0891,129.9168,106.2091,129.6037,139.8941,74.8776,93.2837,90.0038,98.4175,122.682,106.7264,85.5252,104.5881,110.5661,89.0714,105.8501,102.874,78.8926,93.7991,117.5853,88.3009,108.3219,91.113,106.0466,117.4158,104.5712,58.3734,126.7854,101.5905,143.4378,92.3571,81.5269,120.8245,75.3929,124.9871,109.0109,86.6842,66.962,99.1779,117.8173,77.8253,90.2987,89.5696,107.1896,81.0211,98.5094,Environment_3
G42,83.409,124.3711,118.6816,126.3466,130.4503,85.9846,107.2215,93.4407,105.2572,74.4273,95.6009,64.9623,80.8748,87.3773,71.6402,103.6402,94.7188,85.7619,81.7316,123.082,104.9896,85.0316,54.9178,86.463,65.645,99.1287,130.2554,92.4104,113.0105,57.3501,97.4327,128.2865,105.194,102.8039,66.7958,109.2091,90.3664,98.7929,70.7939,105.107,102.6694,130.2071,72.5591,117.0662,140.3998,124.6597,89.9199,73.9571,94.3049,122.9406,89.0926,102.7171,93.0579,71.3804,113.2313,79.0905,105.5946,103.5828,110.3516,44.9026,Environment_3
G43,130.0147,122.8889,110.7574,122.6933,114.5325,126.4226,125.7815,113.0133,129.4364,119.1053,97.4465,118.1056,87.7887,98.0071,105.1189,100.5468,133.7424,152.3884,90.0223,98.7506,101.5117,122.9854,116.9893,144.214,121.9187,103.1887,87.3732,153.3074,128.4064,79.8956,71.5892,129.9044,77.2892,103.3264,89.2713,150.0962,115.2928,93.2413,121.9513,114.0567,62.9311,74.8396,98.4859,93.0004,141.7196,128.7601,146.1795,98.1735,111.6703,117.3904,132.7972,110.6273,122.3924,98.234,113.2823,112.3535,114.0648,99.8348,89.5108,142.7539,Environment_3
G44,99.2044,103.7496,81.372,107.0311,117.8981,71.478,97.2823,96.5373,63.3972,105.9657,108.3016,126.5998,151.2357,120.9855,127.73,101.7334,95.0369,106.8141,116.1159,109.515,113.022,82.0246,118.9341,102.3585,124.3064,108.1479,92.0917,99.8513,108.4749,135.8825,87.8693,93.1344,118.8834,115.8474,64.1757,84.3266,112.0944,90.0977,93.1019,114.3321,91.6798,132.997,125.9872,107.5353,126.6298,120.03,116.115,124.224,79.8588,99.3876,114.074,118.8112,153.1032,102.7064,106.6201,141.0573,116.1185,114.0476,89.0134,107.3363,Environment_3
G45,101.1124,121.78,106.3697,77.7546,90.4868,78.9986,92.3684,52.7588,97.4037,81.1351,62.1044,92.6969,139.6099,105.8307,97.4798,91.4586,102.9061,85.4162,87.9875,74.71,100.1267,90.2788,78.177,94.6503,61.0688,107.1396,68.6872,79.6039,90.1227,87.4578,76.4919,89.9401,82.0008,105.7383,84.892,125.9475,107.5942,115.5623,82.3651,92.6942,85.401,84.9413,102.2374,76.4347,104.7757,90.4269,102.3443,103.9099,116.0887,94.7649,93.9832,91.7771,102.2161,85.9855,115.9902,56.2323,71.0984,71.145,107.2081,106.128,Environment_3
G46,129.7155,124.3911,119.5694,95.9592,86.5633,89.8906,107.8384,108.684,116.8629,116.9032,88.0992,63.2754,124.8852,94.4661,121.0435,97.363,52.3836,128.2764,143.8061,80.5938,108.3495,126.5852,118.0772,105.5976,92.652,109.6526,91.0458,89.1983,110.3612,122.4481,114.7083,98.7364,114.2165,95.8916,82.1215,94.2898,103.9807,87.7207,111.4679,126.2905,107.7175,109.827,117.0709,80.3506,98.3591,126.6489,126.3871,139.7652,79.6244,154.7346,126.1661,120.6562,119.988,133.1933,125.1308,84.8031,89.7888,90.7848,96.3703,104.5835,Environment_3
G47,120.7196,46.1755,130.8485,97.1632,120.6746,104.0858,113.7819,104.312,93.8596,111.9907,115.4578,97.3285,106.7423,72.0336,149.451,111.8972,94.0372,72.2451,96.3947,112.3273,110.0531,120.6529,110.7719,72.6782,125.0299,94.3208,85.0709,125.0059,89.5421,117.1521,81.5351,97.9126,97.1244,75.8284,82.9332,66.239,95.7784,140.8776,117.0175,97.8121,100.4438,94.5161,88.5112,110.9534,102.8319,94.6151,95.2312,87.275,112.4411,76.1538,106.0621,122.4512,87.6589,85.4537,98.9384,104.5203,143.6999,111.7041,111.7636,89.9899,Environment_3
G48,90.1793,135.6471,87.9552,100.3635,111.5053,133.0964,105.6737,103.6766,139.8417,117.9588,76.8679,109.183,107.1184,108.6298,94.885,98.6234,74.0819,90.9016,138.4578,108.406,110.9061,99.5387,106.9387,80.1103,112.505,119.3679,141.8103,92.7782,131.0307,104.3222,78.6686,119.0503,91.5311,88.8746,72.6607,105.7428,92.5996,74.1588,109.8938,112.7011,121.5003,146.0989,101.1135,64.8823,120.3559,105.2467,123.8947,102.872,105.1818,138.8837,120.2627,108.9035,98.6643,94.8877,89.4347,117.3586,99.666,127.4681,99.3502,106.4635,Environment_3
G49,116.8854,85.3209,106.7862,82.0718,124.4916,55.4795,101.8149,115.1699,95.3624,90.9747,110.7841,104.5911,80.22,100.3758,91.3392,68.1556,110.5081,88.4381,88.7254,68.9026,152.0633,82.5737,61.4064,126.0182,111.5536,98.9224,104.6903,69.601,98.8437,84.1577,124.8621,92.3326,128.189,106.4517,98.0974,72.7779,83.5539,94.2575,94.4006,103.3965,105.6795,118.3599,98.887,108.6499,104.4265,86.5396,92.3032,91.4111,82.6247,98.3277,104.7201,117.3088,105.0834,79.2425,102.9798,109.6175,61.5686,66.4298,126.0448,77.9674,Environment_3
G50,82.2796,107.2137,79.0587,159.279,92.8886,90.6118,100.7327,107.7895,91.4264,100.4112,78.3239,92.4039,94.1662,87.5383,82.9697,79.4587,63.8391,114.9346,108.7287,96.271,112.2655,58.3452,116.2427,93.9602,90.1348,102.2595,66.8028,87.912,54.5739,96.5688,80.2048,81.9504,47.8825,112.0679,87.3033,81.0162,108.0138,71.0938,64.2683,80.2697,100.5439,73.4136,126.3899,47.6061,76.7212,78.7184,93.4574,113.8017,82.3722,77.1316,125.5124,87.2672,101.7769,95.1214,68.2488,99.5644,104.2081,91.7539,52.6255,97.8392,Environment_3
G51,60.2094,100.3093,115.3367,117.3356,139.3435,87.9167,106.5564,97.7677,93.9423,74.2621,104.314,67.2012,53.1011,103.4225,117.0283,101.8728,95.862,115.7597,70.3595,87.6882,125.4633,96.4041,74.3897,121.7505,45.4746,90.5957,89.9163,100.1038,103.1412,52.5372,106.5982,62.5681,98.6225,89.2879,106.4591,90.0695,109.8056,108.1827,82.3863,87.1021,85.2818,110.7539,57.077,116.7453,90.7895,113.6258,103.7103,114.6033,88.7456,89.4149,95.8169,115.8211,131.2208,92.3675,105.7053,56.3876,89.7322,79.5842,57.5976,121.652,Environment_3
G52,103.9029,96.2405,105.2362,103.2605,143.0599,111.3806,122.5068,113.9981,119.1819,69.8689,96.3506,102.3466,91.385,105.2486,115.2212,97.1119,121.1367,100.3725,105.26,90.7634,106.4757,123.5409,92.6091,102.0451,56.6595,122.9356,94.6856,132.9654,126.5267,130.0154,124.3628,110.6249,100.768,97.8477,146.7814,129.447,91.3143,130.0115,113.299,114.0098,133.3637,95.2849,101.6955,135.1604,137.107,108.0363,136.2583,102.8108,102.9077,121.1563,104.8604,110.6058,118.8617,90.6648,129.6722,134.0512,90.1226,125.2411,118.1755,100.0878,Environment_3
G53,69.7872,93.304,99.7782,78.7337,96.293,102.8342,82.1814,89.0556,85.8683,58.183,75.6669,92.3769,81.7287,73.5632,68.3804,87.3035,37.5162,53.7609,90.6246,46.0401,55.1027,45.0859,67.6082,68.3034,74.518,77.9793,121.6775,62.2604,66.6499,90.6891,88.3218,80.4635,56.0694,109.6648,62.4502,98.8682,74.0725,93.114,63.3445,105.4347,78.6825,95.3127,80.9593,66.5636,93.4099,78.7322,91.4467,85.6006,120.3817,94.4365,82.3251,95.362,47.3515,72.0913,60.6811,88.54,68.3367,114.5023,54.6248,76.8083,Environment_3
G54,92.7955,125.0761,90.6312,115.8312,101.1499,56.1884,110.1867,109.4257,96.5821,98.0709,104.3645,81.8292,89.8397,116.6572,95.9567,112.4635,104.3624,81.8515,154.4948,106.9436,121.2427,109.3583,121.8424,102.509,103.9743,94.782,86.9385,74.592,101.2923,157.7483,104.8346,67.5492,105.2687,80.1795,118.656,91.7429,98.9928,83.557,71.7349,87.3547,38.7002,104.0359,77.0365,105.2301,72.8492,104.9017,105.5243,60.5355,129.0539,126.5435,112.9596,79.2385,100.3661,127.5016,148.2098,70.9601,75.8051,81.5481,72.5885,112.3763,Environment_3
G55,124.6822,113.0088,91.7348,103.5579,96.4647,93.9931,103.6295,107.2275,112.9409,79.7146,53.2487,126.6551,113.6308,81.8201,130.9913,105.1487,116.1883,89.2209,107.7496,139.8839,112.7867,116.0853,89.8569,125.2456,114.4292,106.7857,90.7502,124.2144,107.0229,130.9513,98.0875,78.4255,110.4138,112.3876,111.5284,136.5557,92.8805,110.3121,120.144,96.9005,129.6053,133.566,111.0539,127.5039,135.517,107.0145,110.9855,127.3982,122.3858,83.0276,105.611,99.9044,112.6755,101.9583,124.689,113.3087,108.8234,92.2322,137.1243,122.4365,Environment_3
G56,69.086,76.0249,67.6283,95.2211,58.7387,108.8418,43.7159,95.0987,110.5948,81.0602,107.8579,94.5785,108.9018,91.1971,118.6202,105.9994,79.1757,105.1561,62.6606,90.6356,91.9482,75.0255,112.1059,119.8437,78.1249,76.9603,21.7167,58.398,121.5216,74.6434,93.4387,86.2214,88.9554,108.5313,76.5814,104.7978,101.9836,84.5258,93.9086,98.6726,77.2357,72.4869,95.6325,100.6538,128.623,77.5844,109.0516,77.8605,72.477,133.4195,109.6698,128.0503,88.9029,72.9977,80.4773,104.4198,67.6488,79.189,77.2608,43.3913,Environment_3
G57,69.0968,56.3146,87.3739,107.2523,79.9729,97.2967,78.8564,64.8528,114.5246,77.8938,52.827,95.8933,93.7591,99.0403,79.0506,69.4174,97.7364,74.022,108.828,105.071,100.3919,91.828,89.1867,79.1369,59.4365,70.4961,81.0256,74.887,100.5236,116.7895,142.3393,109.3402,96.5738,85.1381,85.8867,135.9529,98.6114,111.7643,88.0655,102.6727,107.7829,110.1938,99.5874,88.2012,68.4833,110.3896,91.7673,90.9241,93.9183,89.2868,97.0025,128.923,104.9778,84.6363,85.5866,67.096,88.4456,81.1029,72.4814,128.5756,Environment_3
G58,106.0243,119.8432,101.382,81.2767,93.1195,93.8398,148.4179,102.683,104.3063,95.4124,103.0427,111.2696,88.5208,88.3974,112.3359,99.8615,86.9922,138.669,63.9982,117.5264,99.2477,75.4722,113.1391,86.8768,99.0971,145.7647,111.5513,152.2492,140.9305,114.8393,92.2702,67.8316,93.7013,68.7384,83.5876,108.7081,87.4087,100.5897,74.3544,98.2433,113.8694,117.6012,103.7913,102.0736,121.0348,109.8284,82.4072,75.494,97.6667,93.7707,81.3094,97.5346,99.9063,82.5852,79.2625,109.5042,83.2753,116.4611,110.5038,107.5116,Environment_3
G59,118.9494,118.7232,107.6411,123.9096,121.985,116.4675,144.7113,105.8866,144.1693,120.6467,103.1029,128.6675,65.4682,118.0063,101.6689,110.5034,134.7011,78.0479,102.9555,102.0977,95.0342,99.8574,129.8522,105.9664,148.2812,80.9512,113.4514,103.2274,124.0292,121.668,113.3897,110.9521,147.3119,132.4784,89.8155,127.81,129.7774,111.1462,97.1678,116.4863,115.1992,100.0611,117.9318,76.458,113.913,103.3263,94.3769,112.9293,118.2202,100.7864,53.7909,82.2645,109.4662,84.1833,91.4995,103.3877,108.1802,131.8425,159.343,112.3235,Environment_3
G60,109.6312,88.4758,83.6892,58.5064,106.3054,75.8003,56.2883,107.6043,114.6663,65.5297,92.2722,84.0384,90.0608,93.4523,94.3314,118.9109,84.2662,91.4861,104.8617,44.1396,94.5105,82.783,86.9416,99.7199,100.6746,66.0394,102.0539,74.7498,67.5838,139.4786,102.287,76.6169,78.6917,90.5463,58.9285,103.8786,89.4929,111.7166,87.7883,85.0927,101.3351,101.7103,99.8075,93.1479,65.9227,53.8499,91.4026,110.7602,105.0535,90.5399,92.3611,99.4445,66.0345,101.9708,65.6242,116.6959,78.3857,122.6557,61.967,95.1026,Environment_3
G61,101.919,104.0224,142.6463,71.3161,100.9039,95.6961,82.11,87.7876,71.1544,97.4961,90.1613,90.7192,96.5367,114.2415,108.1965,76.5052,90.4751,91.8286,111.9287,86.5274,97.93,115.567,108.6915,87.4308,79.9796,67.9441,111.1625,116.1888,133.8629,94.893,128.1573,100.7742,59.4993,63.955,75.367,103.7035,89.3121,113.9052,93.1267,105.1525,104.8918,78.9244,54.6213,110.9552,79.4229,134.3373,94.7306,116.858,68.9049,123.8097,108.7249,133.0077,83.1895,93.6116,108.8047,116.0263,71.2794,93.313,124.5742,106.9632,Environment_3
G62,98.5575,87.0857,60.4459,62.2065,106.3866,97.3348,71.1451,78.6237,69.0612,121.4779,85.225,119.1101,109.0902,81.1469,80.8578,84.4282,115.0216,52.97,72.7363,105.9839,68.0999,83.983,97.1337,105.1006,69.6884,93.0303,116.4918,78.0395,107.993,93.5342,103.116,56.8566,96.4776,59.1007,111.8174,44.5325,49.0438,59.4308,62.7098,63.2006,86.8871,121.5395,79.63,84.7768,78.6209,87.545,103.7613,117.524,71.6716,92.6124,93.3421,108.2735,95.6025,92.5269,58.8095,108.8025,42.793,65.87,69.8601,92.8367,Environment_3
G63,93.7391,108.0009,83.1334,103.6387,88.4795,124.4006,72.8622,95.8271,67.5765,75.5227,89.1684,87.6816,86.7376,51.2714,111.4248,102.4431,80.3832,93.6109,119.7185,111.8036,109.8982,60.1335,61.1425,79.5757,97.573,90.7385,112.303,88.1013,96.4476,97.2962,118.1203,88.0888,97.334,97.8878,71.3007,87.144,92.3299,74.3427,103.8368,76.7758,76.3537,86.0964,103.0191,87.1846,73.2626,97.1078,81.7091,80.3402,94.4667,91.9471,118.8113,91.8358,88.0339,62.9288,82.2908,58.7177,57.5096,122.5199,77.778,104.6416,Environment_3
G64,111.0149,114.0822,106.3359,118.9503,100.7284,99.5679,103.4525,119.4708,80.8472,87.5691,102.694,117.2729,95.4451,102.2107,106.4409,129.8411,100.5239,108.4113,133.6857,51.9564,146.8105,113.1443,73.4896,108.7466,91.4543,129.9041,90.1683,81.6117,74.0077,82.3438,107.8054,77.0044,90.1645,114.594,106.4774,110.8721,107.02,93.1349,107.1951,115.7839,51.8002,112.264,136.5352,122.9509,67.6959,118.363,125.8666,150.4135,135.1386,101.7381,115.1619,126.9643,144.4613,119.4306,137.2939,99.8881,108.0584,138.6576,94.41,108.8819,Environment_3
G65,109.6876,138.3472,147.1683,152.9682,144.3861,111.3843,106.519,117.6186,125.9123,128.2253,110.1242,141.4035,120.9467,93.3368,98.3375,117.7141,110.4388,119.7382,168.5302,136.8863,139.1898,101.3585,145.1532,149.655,144.5846,156.415,136.7401,125.3566,116.8156,130.2116,95.3147,147.0073,121.532,108.629,152.9322,104.4589,148.846,126.2843,111.4329,88.0324,135.008,129.3599,98.8473,133.6726,112.9838,133.1001,82.8582,110.306,128.8748,87.404,134.6121,132.6175,107.3617,105.6094,113.1536,107.5679,111.0464,156.2063,132.7716,145.2027,Environment_3
G66,121.2272,135.9998,79.5554,119.9669,91.491,139.1053,102.3363,92.1022,116.3625,82.8389,73.7137,125.6116,123.4779,110.773,126.6474,108.705,72.3983,115.5791,82.616,84.4141,100.041,112.0643,121.5909,86.4688,100.7152,67.3124,87.2174,87.1859,103.1783,117.8326,97.2129,122.0031,109.5289,118.5815,118.057,96.1315,80.4122,101.6393,94.0203,121.8482,128.7108,97.7182,63.6593,91.0923,82.1289,123.0623,93.7497,97.7569,83.4414,67.4812,91.4041,94.8815,100.7801,86.6514,138.2559,98.3076,95.9997,79.4008,127.0597,99.5057,Environment_3
G67,106.8188,95.4077,119.0746,104.609,132.7351,112.2921,87.8468,85.4424,69.1927,135.9592,125.3918,92.4258,105.4283,87.327,119.0393,76.5001,94.1204,104.5054,122.0245,86.6201,73.7625,116.1158,130.2163,85.1571,132.8423,104.1295,114.7734,135.8959,105.3264,120.19,83.0654,123.0102,102.4996,118.3028,72.2524,91.534,127.1997,113.6229,143.6121,68.0782,143.5796,129.8501,87.6282,96.9913,96.427,137.8118,101.596,115.7634,138.3665,78.0449,120.2173,71.8539,117.2976,111.2455,107.1821,152.3762,99.4977,109.6401,95.1148,86.5221,Environment_3
G68,113.6651,110.937,144.2852,142.0869,132.2251,128.6489,106.8289,105.9976,81.4084,115.6146,121.4007,157.2309,159.0906,134.4633,118.7528,103.3017,137.5299,137.8507,152.8212,106.83,108.4792,127.5929,68.0641,158.6489,133.8855,131.3303,106.0205,137.1884,147.7982,90.6273,90.4479,145.2275,119.808,98.5825,156.5571,90.5258,106.398,115.0979,132.1419,88.4217,140.9541,111.2547,112.5632,143.0724,131.6605,86.4645,145.0961,109.4833,125.0089,149.4013,114.1954,107.6856,121.544,115.2263,106.7611,126.1326,107.6731,67.2477,113.5327,145.6535,Environment_3
G69,76.5195,40.7726,90.0891,59.338,142.0201,51.852,79.8154,110.3033,78.554,82.881,119.2813,119.6933,80.9022,65.3916,78.4545,103.2471,80.329,105.9786,70.4604,124.9076,123.7581,72.798,65.4768,82.2694,93.7193,81.4514,63.0251,78.2181,59.5067,70.3782,129.2318,89.958,87.9869,72.7933,80.7171,108.1895,94.4542,99.9586,49.3175,78.2526,84.4119,49.0451,110.0283,92.8885,90.6948,107.2649,92.5172,90.3004,94.15,86.2244,98.3088,79.1433,95.157,80.1125,111.7331,94.2426,96.0131,108.418,123.029,78.2434,Environment_3
G70,72.0717,97.965,123.7498,90.2936,115.4042,86.9652,104.7601,80.0694,106.7993,99.5297,95.2247,90.6465,85.4307,107.1834,90.46,138.1953,57.1875,99.3516,96.2778,80.5653,82.8342,86.0526,80.6997,109.7852,70.5812,90.576,70.6676,109.8821,95.5584,107.4353,105.552,109.3238,94.43,109.4411,122.7767,114.3117,91.5282,85.6434,100.4271,89.6237,112.0524,101.6784,104.5713,82.7155,59.7296,61.53,83.84,114.3712,64.7877,117.8951,109.3819,99.8097,112.1233,118.9766,98.1915,116.8875,89.0789,102.5391,125.2406,90.8719,Environment_3
